word,topic,hints,meaning
Phở,Ẩm thực,Món nước có sợi - ăn sáng;Có nước dùng đậm đà,"Món ăn Việt Nam gồm bánh phở, nước dùng hầm từ xương và thịt bò hoặc gà, thường ăn vào buổi sáng."
Bún bò,Ẩm thực,Món nước cay;Đặc sản miền Trung,"Món bún nước có vị cay, nấu từ thịt bò và mắm ruốc, đặc sản của Huế."
Bún riêu,Ẩm thực,Món nước có cua;Ăn kèm rau sống,"Món bún nước chua nhẹ nấu từ cua đồng giã nhuyễn, cà chua, đậu phụ."
Hủ tiếu,Ẩm thực,Món nước gốc Nam Bộ;Có thể ăn khô hoặc nước,"Món sợi gốc Nam Bộ, có thể chan nước dùng hoặc trộn khô, ăn kèm thịt heo hoặc hải sản."
Cà phê sữa đá,Đồ uống,Thức uống có đá - hay uống ở quán cóc;Vị đắng ngọt hoà quyện,"Cà phê pha đậm trộn với sữa đặc, phục vụ kèm đá lạnh, phổ biến ở Việt Nam."
Trà đào,Đồ uống,Uống buổi chiều với bạn bè;Có vị chua ngọt trái cây,"Trà pha kèm đào ngâm hoặc si-rô đào, vị chua ngọt, uống lạnh."
Trà sữa,Đồ uống,Thường có trân châu;Giới trẻ hay uống,"Trà pha với sữa và thường có topping trân châu, phổ biến với giới trẻ."
Nước mía,Đồ uống,Ép trực tiếp từ cây;Hay bán vỉa hè,"Nước ép từ cây mía tươi, vị ngọt tự nhiên, thường bán ở các xe đẩy vỉa hè."
Xe máy,Phương tiện,Chạy trên đường phố;Cần đội mũ bảo hiểm khi đi,"Phương tiện 2 bánh chạy bằng động cơ, phổ biến nhất ở Việt Nam để di chuyển hàng ngày."
Xe đạp điện,Phương tiện,Học sinh hay đi;Không cần bằng lái,"Xe đạp chạy bằng động cơ điện, không cần bằng lái, học sinh hay sử dụng."
Xe đạp,Phương tiện,Đạp bằng chân;Không dùng xăng,"Phương tiện 2 bánh vận hành bằng sức đạp của chân người, không dùng nhiên liệu."
Xe buýt,Phương tiện,Phương tiện công cộng;Có nhiều trạm dừng,"Phương tiện công cộng chở nhiều người, chạy theo tuyến cố định với các trạm dừng."
Áo dài,Trang phục,Trang phục truyền thống Việt Nam;Hay mặc dịp lễ Tết,"Trang phục truyền thống Việt Nam, dáng dài ôm người, thường mặc trong dịp lễ Tết."
Áo bà ba,Trang phục,Gắn liền với miền Tây;Chất liệu mềm mại,"Trang phục truyền thống gắn liền với miền Tây Nam Bộ, form đơn giản, chất liệu mềm mại."
Áo tứ thân,Trang phục,Trang phục miền Bắc xưa;Thường đi kèm khăn mỏ quạ,"Trang phục truyền thống của phụ nữ miền Bắc xưa, gồm 4 vạt áo, thường đi cùng khăn mỏ quạ."
Sapa,Du lịch Việt Nam,Điểm du lịch có khí hậu mát mẻ;Nằm ở vùng núi phía Bắc,"Thị trấn du lịch vùng núi phía Bắc Việt Nam, nổi tiếng khí hậu mát mẻ và ruộng bậc thang."
Đà Lạt,Du lịch Việt Nam,Thành phố ngàn hoa;Khí hậu se lạnh quanh năm,"Thành phố cao nguyên ở Lâm Đồng, nổi tiếng khí hậu mát mẻ quanh năm và nhiều loại hoa."
Tam Đảo,Du lịch Việt Nam,Gần Hà Nội;Có nhà thờ đá cổ,"Thị trấn nghỉ mát trên núi ở Vĩnh Phúc, gần Hà Nội, có nhà thờ đá cổ nổi tiếng."
Karaoke,Giải trí,Hoạt động giải trí có âm nhạc;Thường đi vào cuối tuần,"Hoạt động giải trí hát theo nhạc nền trong phòng riêng, thường đi theo nhóm bạn bè."
Board game,Giải trí,Chơi theo nhóm bạn;Cần bàn và quân cờ/thẻ bài,"Trò chơi bàn cờ hoặc thẻ bài chơi theo nhóm, cần không gian bàn để chơi cùng nhau."
Bánh mì,Ẩm thực,"Món ăn nhanh, tiện lợi;Có thể ăn kèm nhiều loại nhân","Bánh làm từ bột mì, xẻ giữa để kẹp nhân như pate, thịt, rau, đồ chua."
Game Ma sói,Giải trí,Một Board game; The mafia game,"Board game trong đó có 2 phe là dân làng và sói giả dân làng. Nhiệm vụ của sói là ăn thịt hết dân (hoặc số dân = số sói), nhiệm vụ của dân là tìm ra sói trước khi bị ăn thịt"
Loa,Thiết bị,Âm thanh; Cơ học hoặc điện tử,Thiết bị phóng đại âm thanh
Cơm tấm,Ẩm thực,Cơm nửa hạt;Ăn kèm sườn nướng,"Cơm làm từ hạt gãy, thường ăn kèm sườn nướng, trứng ốp la, cà chua ở miền Nam."
Bún chả,Ẩm thực,Đặc sản Hà Nội;Ăn kèm nước chấm,"Bún kèm thịt nướng, dùng chung với nước chấm mặn ngọt, đặc sản ẩm thực Hà Nội."
Bánh chưng,Ẩm thực,Bánh Tết truyền thống;Hình vuông,"Bánh Tết Việt Nam làm từ nếp, đậu xanh và thịt lợn, hình vuông tượng trưng đất trời."
Bánh dâu,Ẩm thực,Bánh tròn có nhân mứt;Lễ Tết,"Bánh Tết làm từ bột nếp, có nhân mứt dâu ngon, ăn vào dịp lễ Tết."
Chè ba màu,Ẩm thực,Có 3 lớp màu khác nhau;Đặc sản Sài Gòn,"Món chè nước có 3 lớp: thạch xanh, sữa chua trắng, nước đường vàng, phổ biến ở Sài Gòn."
Cà phê đen,Đồ uống,Cà phê không sữa;Vị đắng đậm,"Cà phê pha trực tiếp với nước nóng, không thêm sữa, vị đắng và mạnh mẽ."
Sinh tố,Đồ uống,Nước ép hoa quả;Uống lạnh,"Thức uống làm từ hoa quả xay nhuyễn trộn với nước hoặc sữa, uống lạnh mát."
Bia,Đồ uống,Thức uống có cồn;Hay uống ở quán nhậu,"Thức uống có cồn làm từ lúa mạch hoặc gạo, phổ biến ở các quán bar, nhậu."
Rượu,Đồ uống,Thức uống có cồn cao;Chứa cồn nhiều,"Thức uống chứa độ cồn cao, làm từ nho, gạo hoặc các loại trái cây khác."
Nước ngọt,Đồ uống,Thức uống có gas;Vị ngọt dễ chịu,"Thức uống nước có gas, vị ngọt, uống lạnh để giải khát."
Nước cam và nước quýt,Đồ uống,Nước ép trái cây có múi;Giàu vitamin C,"Thức uống ép từ cam hoặc quýt tươi, có vị chua ngọt tự nhiên và nhiều vitamin C."
Nước dừa,Đồ uống,Nước trong quả dừa;Mát, lợi tiểu
Trà xanh,Đồ uống,Trà không ferment;Vị đắng nhẹ,"Trà làm từ lá chè xanh tươi không qua quá trình lên men, vị đắng nhẹ."
Trà hoa,Đồ uống,Trà pha với các loại hoa;Thơm nhẹ,"Trà pha kèm hoa như hoa cúc, hoa hồng, hoa nhài, vị thơm nhẹ dễ chịu."
Cơm chiên,Ẩm thực,Cơm rang với các loại nhân;Ăn nhanh tiện,"Cơm chiên với thịt, tôm, trứng, hành, đậu, ăn nhanh tiện lợi."
Mì xào,Ẩm thực,Mì tươi xào;Có vị mặn,"Mì tươi xào với các loại rau và thịt, vị mặn đậm, ăn nóng."
Cơm cà ri,Ẩm thực,Cơm nấu với nước cà ri;Vị cay thơm,"Cơm nấu với nước cà ri dừa và gia vị, vị cay thơm, đặc sản Ấn Độ."
Chả giò,Ẩm thực,Cuốn chiên vàng;Ăn kèm nước chấm,"Bánh tráng cuốn nhân thịt heo và rau, chiên vàng giòn, ăn kèm nước chấm chua ngọt."
Gỏi cuốn,Ẩm thực,Bánh tráng trộn rau sống;Ăn lạnh,"Bánh tráng cuốn với rau sống, tôm, thịt, ăn lạnh, vị chua ngọt từ nước chấm."
Tôm rang muối,Ẩm thực,Tôm chiên cùng muối ớt;Mỡ bùng bặt,"Tôm chiên khô kèm muối ớt, ăn giòn tan, vị mặn cay đậm."
Cua hoàng đế,Ẩm thực,Cua to ngon nhất;Chân dài, khoai chắc
Bò nướng,Ẩm thực,Thịt bò nướng trên than;Thơm mùi sương,"Thịt bò cắt mỏng nướng trên than hoặc bếp nướng, ăn kèm rau sống và nước chấm."
Lẩu,Ẩm thực,Nước dùng nóng nấu cùng;Ăn theo nhóm,"Giáo đoàn ăn: nước dùng nóng được đặt giữa bàn, mọi người nấu và ăn cùng nhau."
Cơm hến,Ẩm thực,Cơm kèm hến khô;Đặc sản miền Trung,"Cơm trắng ăn kèm hến khô rang thơm, dầu hành, vị ngon khó quên."
Bánh canh,Ẩm thực,Bánh làm từ bột chiên;Nước dùng thanh,"Bánh dùi hoặc bánh ngô, ăn trong nước dùng, có thể kèm cua hoặc thịt."
Bún cua,Ẩm thực,Bún trong nước dùng cua;Thơm cua,"Bún ăn trong nước dùng cua đậm đà, vị cua thơm ngon."
Xôi,Ẩm thực,Cơm nếp dẻo;Ăn kèm mặn hoặc ngọt,"Cơm nếp nấu chín, ăn kèm thịt gác bếp, trứng hay đậu phộng."
Xoài,Hoa quả,Vua của các loại trái cây;Vị ngọt dịu,"Trái có màu vàng hoặc đỏ, vị ngọt dịu, thơm, nổi tiếng tại Việt Nam."
Đu đủ,Hoa quả,Trái lòng cam;Đốc vitamin C,"Trái có dáng bầu dục, vỏ xanh hoặc vàng, thịt cam, vị ngọt."
Dứa,Hoa quả,Thơm ngọt; Vỏ gai gai,"Trái tròn có vỏ gai, thịt vàng cam, vị chua ngọt thơm."
Chuối,Hoa quả,Trái dài, mềm;Giàu kali
Cam,Hoa quả,Trái tròn cam;Giàu vitamin C,"Trái tròn có vỏ cam, thịt cam, vị chua ngọt, rất tốt cho sức khỏe."
Quýt,Hoa quả,Trái nhỏ vỏ mỏng;Dễ bóc,"Trái nhỏ hơn cam, vỏ mỏng dễ bóc, vị chua ngọt, thơm."
Dâu tây,Hoa quả,Trái nhỏ đỏ;Ngọt thơm,"Trái nhỏ màu đỏ, vị ngọt thơm, chứa nhiều vitamin và chất chống oxy hóa."
Nho,Hoa quả,Trái nhỏ mọng nước;Xanh hoặc đỏ,"Trái nhỏ mọng nước, xanh hoặc đỏ, ăn được hạt hoặc không hạt."
Bưởi,Hoa quả,Trái to vỏ dày;Chua ngọt,"Trái to, vỏ dày màu vàng, thịt hồng hoặc trắng, vị chua ngọt."
Chanh,Hoa quả,Trái xanh nhỏ;Chua cao độ,"Trái nhỏ màu xanh hoặc vàng, chua cao, dùng để nấu ăn hoặc làm nước."
Dưa hấu,Hoa quả,Trái tròn to;Thịt đỏ mát,"Trái tròn to, vỏ xanh, thịt đỏ hoặc vàng, mát lạnh, vị ngọt."
Dưa lưới,Hoa quả,Trái tròn lưới;Thơm ngọt,"Trái tròn có vỏ nổi lưới, thịt cam, vị ngọt thơm, giá đắt."
Mận,Hoa quả,Trái nhỏ tròn;Chua ngọt,"Trái nhỏ, vỏ đỏ hoặc xanh, vị chua ngọt, giàu vitamin."
Lê,Hoa quả,Trái có dạng quả lạc;Nước nhiều,"Trái hình bầu dục, vỏ nâu, thịt trắng, nước nhiều, vị ngọt nhẹ."
Kiwi,Hoa quả,Trái nâu lông xoắn;Xanh bên trong,"Trái nhỏ có lông nâu, bên trong xanh hoặc vàng, vị chua ngọt."
Dâu tằm,Hoa quả,Trái đen nhỏ;Ngọt chua,"Trái nhỏ màu đen, vị chua ngọt, giàu chất chống oxy hóa."
Hạt óc chó,Hoa quả,Hạt cứng; Giàu chất béo,"Hạt bên trong vỏ cứng, ăn được phần nhân trắng, giàu protein, bổ dưỡng."
Hạnh nhân,Hoa quả,Hạt từ cây hạnh;Vị ngọt,"Hạt ăn được từ cây hạnh, vị ngọt tự nhiên, dùng trong bánh kẹo."
Thạch đậu xanh,Ẩm thực,Thạch nước;Xanh mặt,"Thạch làm từ đậu xanh, thạch nước, ăn lạnh, vị ngọt mát."
Kem,Ẩm thực,Tráng miệng lạnh;Nhiều vị,"Tráng miệng lạnh làm từ sữa, ăn được các vị khác nhau, phổ biến với trẻ em."
Bánh kem,Ẩm thực,Bánh có kem màu;Ngọt ngào,"Bánh làm từ bột trứng, có kem phủ ngoài, vị ngọt ngào, ăn vào các dịp lễ."
Kẹo,Ẩm thực,Tráng miệng ngọt;Nhiều hương vị,"Tráng miệng làm từ đường, màu sắc và hương vị đa dạng, thích hợp với trẻ em."
Chocolate,Ẩm thực,Tráng miệng đắng ngọt;Từ ca cao,"Tráng miệng làm từ ca cao, vị đắng ngọt, được ưa chuộng trên toàn thế giới."
Bánh quy,Ẩm thực,Bánh giòn khô;Ăn vặt,"Bánh làm từ bột mì, bơ, trứng, ăn giòn khô, ăn vặt hoặc tráng miệng."
Bánh gạo,Ẩm thực,Bánh làm từ gạo;Tròn phẳng,"Bánh làm từ bột gạo, tròn phẳng, giòn, có thể ăn mặn hoặc ngọt."
Lạc rang muối,Ẩm thực,Lạc rang khô;Ăn vặt,"Lạc rang nóng và rắc muối, ăn giòn, ăn vặt hoặc kèm cơm."
Hạt hướng dương,Ẩm thực,Hạt nhỏ dài;Ăn vặt,"Hạt từ hoa hướng dương, ăn vặt, bổ dưỡng, giàu chất béo tốt."
Ngô nướng,Ẩm thực,Ngô rang nóng;Vị bơ,"Hạt ngô nướng hoặc rang, vị bơ mặn, ăn vặt phổ biến."
Khoai tây chiên,Ẩm thực,Khoai tây cắt dài chiên;Vàng giòn,"Khoai tây cắt thành sợi chiên vàng giòn, ăn kèm cà chua hoặc muối."
Bánh táo,Ẩm thực,Bánh với nhân táo;Vị chua ngọt,"Bánh làm từ bột, có nhân từ trái táo, vị chua ngọt dễ chịu."
Tủ lạnh,Đồ vật trong nhà,Bảo quản thực phẩm;Có dồng cơ,"Thiết bị điện bảo quản thực phẩm lạnh, giữ thực phẩm tươi lâu hơn."
Lò nướng,Đồ vật trong nhà,Nướng bánh;Nóng cao độ,"Thiết bị điện dùng để nướng bánh, thịt, hoặc các loại thực phẩm khác."
Nồi cơm,Đồ vật trong nhà,Nấu cơm;Chứa nước,"Nồi điện dùng để nấu cơm từ gạo, tự động giữ ấm sau khi nấu."
Bếp ga,Đồ vật trong nhà,Nấu ăn;Sử dụng gas,"Bếp nấu ăn dùng gas, có tay cầm điều chỉnh ngọn lửa."
Chảo,Đồ vật trong nhà,Chiên xào;Dế bám dính,"Nồi cạn dùng chiên xào thực phẩm, thường có lớp chống dính."
Nồi,Đồ vật trong nhà,Nấu nước;Chứa nước nhiều,"Nồi sâu dùng nấu nước, canh, hoặc các món nước khác."
Tủ quần áo,Đồ vật trong nhà,Cất quần áo;Có ngăn,"Tủ gỗ hoặc kim loại để cất giữ quần áo, giữ quần áo ngăn nắp."
Giường,Đồ vật trong nhà,Nơi ngủ;Có đệm,"Nơi ngủ với khung gỗ hoặc kim loại, có đệm mềm thoải mái."
Bàn,Đồ vật trong nhà,Mặt bàn phẳng;Đặt đồ,"Đồ nội thất có mặt phẳng, dùng để đặt đồ hoặc làm việc."
Ghế,Đồ vật trong nhà,Nơi ngồi;Có lưng,"Đồ nội thất dùng để ngồi, thường có 4 chân, có lưng hoặc không."
Cửa,Đồ vật trong nhà,Nút vào nhà;Gỗ hoặc kim loại,"Cánh cửa bằng gỗ hoặc kim loại, dùng để đóng mở vào ra."
Cửa sổ,Đồ vật trong nhà,Cho ánh sáng vào;Mở được,"Cửa mở vào sân ngoài, cho ánh sáng mặt trời vào, có thể đóng mở."
Đèn,Đồ vật trong nhà,Chiếu sáng;Chạy điện,"Thiết bị điện dùng để chiếu sáng phòng, có nhiều loại như đèn bàn, đèn treo."
Quạt,Đồ vật trong nhà,Quay tạo gió mát;Chạy điện,"Thiết bị quay, tạo gió mát, dùng để thông thoáng không khí phòng."
Điều hòa,Đồ vật trong nhà,Điều chỉnh nhiệt độ;Nước lạnh,"Thiết bị điều chỉnh nhiệt độ phòng, làm lạnh hoặc sưởi ấm."
Máy giặt,Đồ vật trong nhà,Giặt quần áo;Chứa nước,"Thiết bị điện dùng để giặt quần áo tự động, tiết kiệm thời gian."
Tivi,Đồ vật trong nhà,Xem truyền hình;Màn hình,"Thiết bị điện xem truyền hình, phim, chương trình giải trí."
Radio,Đồ vật trong nhà,Nghe các chương trình;Sóng điện,"Thiết bị nghe sóng radio, nghe nhạc, tin tức, chương trình phát thanh."
Máy tính,Đồ vật trong nhà,Xử lý dữ liệu;Màn hình và bàn phím,"Thiết bị điện tử dùng xử lý dữ liệu, giải trí, học tập, làm việc."
Điện thoại,Đồ vật trong nhà,Gọi điện;Pin,"Thiết bị di động dùng gọi điện, nhắn tin, kết nối internet."
Máy ảnh,Đồ vật trong nhà,Chụp ảnh;Lens,"Thiết bị dùng chụp ảnh, ghi lại khoảnh khắc, lưu lại kỷ niệm."
Đầu đĩa,Đồ vật trong nhà,Phát nhạc từ đĩa;Có kim,"Thiết bị phát nhạc từ đĩa vinyl, tạo âm thanh analog ấm áp."
