tu_that,tu_lien_quan,goi_y
Phở,Bún bò,Món nước có sợi - thường ăn buổi sáng
Cà phê sữa đá,Trà đào,Thức uống có đá - hay uống ở quán cóc
Xe máy,Xe đạp điện,Phương tiện 2 bánh chạy trên đường phố
Bánh chưng,Bánh tét,Món bánh gói lá - hay ăn dịp Tết
Áo dài,Áo bà ba,Trang phục truyền thống Việt Nam
Sapa,Đà Lạt,Điểm du lịch có khí hậu mát mẻ
Nón lá,Mũ bảo hiểm,Vật đội trên đầu khi ra đường
Bánh xèo,Bánh khọt,Món bánh chiên giòn - ăn kèm rau sống
Chợ Bến Thành,Chợ Đồng Xuân,Khu chợ nổi tiếng ở thành phố lớn
Karaoke,Nhạc sống,Hoạt động giải trí có âm nhạc - hay tụ tập bạn bè
